Aircraft Type,Cause Category,Weather,Flight Phase,Damage Level,Event Count
Aeronca 7BCM,General,VMC,Takeoff,Substantial,2
Beech 1900C,General,VMC,Taxi,Substantial,2
Snow AT400,General,VMC,Landing,Substantial,2
Beech 1900C,Human Error,IMC,Unknown,Destroyed,2
Snow AT-301,General,VMC,Cruise,Substantial,2
Rockwell NA-265-80,General,VMC,Landing,Substantial,2
Aeronca 7BCM,General,VMC,Landing,Destroyed,2
Bell 222,General,VMC,Cruise,Unknown,2
Bell 222,General,VMC,Maneuvering,Substantial,2
Bell 222,General,VMC,Takeoff,Destroyed,2
Beech 1900,General,VMC,Taxi,Substantial,2
Bell 222,Mechanical Failure,VMC,Unknown,Substantial,2
Bell 222,Unknown,UNK,Unknown,Substantial,2
Socata TB 10,Human Error,VMC,Unknown,Substantial,2
Beech 19,Human Error,VMC,Unknown,Substantial,2
Beech 19,General,VMC,Takeoff,Substantial,2
Rockwell A-9B,General,VMC,Maneuvering,Destroyed,2
Bell 222U,General,VMC,Cruise,Substantial,2
Beech 18,General,VMC,Go_around,Substantial,2
Rockwell 690B,Human Error,VMC,Unknown,Substantial,2
Rockwell 690B,General,VMC,Landing,Substantial,2
Socata TB-20,General,IMC,Cruise,Destroyed,2
Beech 100,Human Error,VMC,Unknown,Substantial,2
Rockwell 114,General,VMC,Cruise,Substantial,2
Aeronca 7AC,General,VMC,Standing,Destroyed,2
Bell 430,Human Error,VMC,Unknown,Substantial,2
Balloon.Works FIREFLY 8B-15,General,VMC,Landing,Unknown,2
Bell 47G-2,General,VMC,Unknown,Destroyed,2
Air.Tractor 402,General,VMC,Maneuvering,Substantial,2
Balloon.Works FIREFLY 8B,General,VMC,Landing,Substantial,2
Robinson.Helicopter.Company R22,Unknown,VMC,Unknown,Substantial,2
Bell 47G 2A,Human Error,VMC,Unknown,Substantial,2
Robinson.Helicopter.Company R22 Beta,General,VMC,Descent,Substantial,2
Bell 47G,Other,VMC,Unknown,Substantial,2
Rockwell 114,General,IMC,Approach,Destroyed,2
Bell 47G,Mechanical Failure,VMC,Unknown,Substantial,2
Bell 47G,General,VMC,Taxi,Substantial,2
Bell 47G,General,VMC,Descent,Substantial,2
Bell 47G,General,VMC,Approach,Substantial,2
Robinson.Helicopter.Company R44 II,Human Error,IMC,Unknown,Substantial,2
Robinson.Helicopter.Company R44 II,Mechanical Failure,VMC,Unknown,Unknown,2
Bell 47G-2A,General,VMC,Cruise,Substantial,2
Bell 47G-2A,General,VMC,Maneuvering,Destroyed,2
Balloon.Works FIREFLY 7-15,General,VMC,Landing,Unknown,2
Balloon.Works FIREFLY 7,Human Error,VMC,Unknown,Unknown,2
Robinson.Helicopter.Co R66,Unknown,UNK,Unknown,Substantial,2
Balloon.Works FIREFLY 7,General,VMC,Takeoff,Substantial,2
Bell 47G-2A,Human Error,VMC,Unknown,Substantial,2
Balloon.Works FIREFLY 7,General,VMC,Landing,Minor,2
Robinson.Helicopter.Co R66,Other,VMC,Unknown,Substantial,2
Robinson.Helicopter.Co R66,Other,VMC,Unknown,Destroyed,2
Air.Tractor 502,General,VMC,Takeoff,Substantial,2
Robinson.Helicopter.Co R22 BETA,Unknown,UNK,Unknown,Destroyed,2
Balloon.Works FIREFLY 7,General,VMC,Approach,Substantial,2
Balloon.Works FIREFLY 6B,General,VMC,Cruise,Substantial,2
Starduster SA-100,General,VMC,Landing,Substantial,2
Bell 47G-3B,General,VMC,Maneuvering,Substantial,2
Robinson.Helicopter R44,Unknown,UNK,Unknown,Substantial,2
Bell 47D1,Other,VMC,Unknown,Substantial,2
Robinson.Helicopter.Company R44 II,Weather-Related,VMC,Unknown,Substantial,2
Bell 47D-1,General,VMC,Cruise,Substantial,2
Barnes FIREFLY 7,General,VMC,Landing,Substantial,2
Bell 430,Unknown,UNK,Unknown,Substantial,2
Rockwell 112TCA,General,VMC,Takeoff,Substantial,2
Bell 47,General,VMC,Cruise,Substantial,2
Bell 47,General,VMC,Landing,Substantial,2
Bell 47,General,VMC,Maneuvering,Destroyed,2
Bell 47,Human Error,VMC,Unknown,Substantial,2
Rockwell 112TC,General,VMC,Go_around,Substantial,2
Rockwell 112TC,General,VMC,Cruise,Destroyed,2
Air.Creation GTE,Human Error,VMC,Unknown,Substantial,2
Aeronca 7AC,General,VMC,Go_around,Destroyed,2
Vans RV 6,Unknown,VMC,Unknown,Substantial,2
Rockwell 112B,General,VMC,Takeoff,Substantial,2
Air.Creation.Usa.Llc SKYPPER,Human Error,VMC,Unknown,Substantial,2
Bell 47-D1,General,VMC,Landing,Substantial,2
Bell 47-G,General,VMC,Maneuvering,Substantial,2
Aeronca 65CA,General,VMC,Landing,Substantial,2
Bell 47-G2,General,VMC,Landing,Destroyed,2
Bell 47-G2,General,VMC,Landing,Substantial,2
Rockwell 112A,General,VMC,Takeoff,Destroyed,2
Spartan 7W,General,VMC,Landing,Substantial,2
Bell 47-G3B1,General,VMC,Maneuvering,Substantial,2
Bell 47-G4A,General,VMC,Cruise,Destroyed,2
Rockwell 112,Unknown,VMC,Unknown,Substantial,2
Rockwell 112,Human Error,VMC,Unknown,Substantial,2
Bell 47-G5,General,VMC,Landing,Substantial,2
Bell 47-G5,General,VMC,Takeoff,Substantial,2
Aeronca 7-EC,General,VMC,Landing,Substantial,2
Sport.Plane.Dynamics.Llc LIGHTNING,Human Error,VMC,Unknown,Substantial,2
Aeronca 7-AC,General,VMC,Landing,Substantial,2
Balloon.Works FIREFLY-7,General,VMC,Landing,Unknown,2
Bell 212,General,VMC,Unknown,Substantial,2
Snow 600-S2C,General,VMC,Maneuvering,Destroyed,2
Aeronca 65-TC,General,VMC,Takeoff,Substantial,2
Smith AEROSTAR 601P,Human Error,VMC,Unknown,Destroyed,2
Vans VANS RV 8,Human Error,VMC,Unknown,Substantial,2
Beech 35-A33,Human Error,VMC,Unknown,Substantial,2
Bell 206B III,General,VMC,Landing,Substantial,2
Bell 206B III,General,VMC,Descent,Substantial,2
Beech 35-A33,Unknown,VMC,Unknown,Substantial,2
Beech 35-B33,General,VMC,Approach,Destroyed,2
Beech 35-B33,General,VMC,Climb,Substantial,2
Vans VANS RV-8,Unknown,VMC,Unknown,Substantial,2
Bell 206B III,General,VMC,Cruise,Substantial,2
Bell 206B III,General,VMC,Cruise,Destroyed,2
Bell 206B III,General,VMC,Approach,Substantial,2
Beech 35-B33,General,VMC,Cruise,Substantial,2
Beech 35-B33,Mechanical Failure,VMC,Unknown,Substantial,2
Agusta AW139,Unknown,VMC,Unknown,Substantial,2
Beech 35-A33,General,VMC,Landing,Substantial,2
Smith Aerostar 601,General,VMC,Landing,Substantial,2
Beech 35-A33,General,VMC,Approach,Substantial,2
Smith Aerostar 601P,General,VMC,Takeoff,Substantial,2
Beech 35-33,Mechanical Failure,VMC,Unknown,Substantial,2
Beech 35-33,General,VMC,Approach,Substantial,2
Beech 35 A33,Human Error,VMC,Unknown,Substantial,2
Vans RV8,Unknown,UNK,Unknown,Substantial,2
Beech 35,Other,VMC,Unknown,Substantial,2
Vans RV8,Human Error,VMC,Unknown,Destroyed,2
Beech 35,General,VMC,Landing,Destroyed,2
Vans RV7A,Human Error,VMC,Unknown,Substantial,2
Beech 35,General,VMC,Go_around,Destroyed,2
Bell 206B-3,General,VMC,Takeoff,Substantial,2
Aeronca 7FC,General,VMC,Landing,Substantial,2
Beech 35,General,VMC,Climb,Destroyed,2
Bell 206B-III,General,VMC,Cruise,Substantial,2
Bell 206B III,General,IMC,Maneuvering,Substantial,2
Bell 206B II,General,VMC,Maneuvering,Substantial,2
Beech 1900D,General,VMC,Approach,Minor,2
Rolladen-Schneider LS-4A,General,VMC,Maneuvering,Substantial,2
Bell 206A,General,VMC,Unknown,Substantial,2
Agusta AW109,Unknown,UNK,Unknown,Destroyed,2
Bell 206A,General,VMC,Standing,Substantial,2
Bell 206A,General,VMC,Maneuvering,Substantial,2
Aeronca L-3B,General,VMC,Takeoff,Substantial,2
Skykits.Usa.Corp SAVANNAH ADV,Human Error,VMC,Unknown,Substantial,2
Bell 206-L4,Unknown,UNK,Unknown,Unknown,2
Beech 35-C33,General,VMC,Landing,Substantial,2
Aeronca O-58B,General,VMC,Approach,Destroyed,2
Bell 206-L4,General,VMC,Maneuvering,Substantial,2
Vans.Aircraft RV-4,General,VMC,Cruise,Substantial,2
Rolladen-Schneider LS3-A,General,VMC,Cruise,Destroyed,2
Agusta A119,General,VMC,Approach,Substantial,2
Bell 206-L3,General,VMC,Standing,Substantial,2
Bell 206A,Human Error,VMC,Unknown,Substantial,2
Rolladen-Schneider LS-4,General,VMC,Maneuvering,Substantial,2
Bell 206B,General,IMC,Approach,Substantial,2
Bell 206B,General,IMC,Cruise,Substantial,2
Bell 206B,General,IMC,Unknown,Destroyed,2
Beech 36,General,VMC,Cruise,Destroyed,2
Beech 36,General,IMC,Descent,Destroyed,2
Beech 36,General,IMC,Approach,Destroyed,2
Bell 206B,General,VMC,Other,Substantial,2
Bell 206B,General,VMC,Standing,Destroyed,2
Bell 206B,Human Error,IMC,Unknown,Destroyed,2
Bell 206B,Unknown,VMC,Unknown,Destroyed,2
Beech 35C33,Human Error,VMC,Unknown,Substantial,2
Beech 35B33,Human Error,VMC,Unknown,Substantial,2
Beech 35-C33A,General,VMC,Cruise,Substantial,2
Beech 35-C33A,General,VMC,Cruise,Destroyed,2
Beech 35-C33,General,VMC,Taxi,Substantial,2
Bell 206B-III,Human Error,VMC,Unknown,Substantial,2
Beech 35,General,IMC,Approach,Substantial,2
Aeronca 7EC,General,VMC,Takeoff,Destroyed,2
Beech 200,General,VMC,Taxi,Substantial,2
Beech 200,General,VMC,Climb,Substantial,2
Beech 200,General,VMC,Cruise,Minor,2
Beech 200,General,VMC,Cruise,Substantial,2
Rockwell S2R,Unknown,VMC,Unknown,Substantial,2
Bell 206L-3,General,VMC,Standing,Destroyed,2
Bell 206L-3,General,VMC,Landing,Substantial,2
Aeronca 7CCM,General,VMC,Maneuvering,Substantial,2
Vans RV7,Unknown,UNK,Unknown,Destroyed,2
Bell 206L-3,General,VMC,Approach,Destroyed,2
Beech 200,General,VMC,Unknown,Substantial,2
Beech 200,Human Error,IMC,Unknown,Substantial,2
Beech 200,Unknown,UNK,Unknown,Destroyed,2
Beech 200,Unknown,UNK,Unknown,Unknown,2
Aeronca 7CCM,General,VMC,Takeoff,Destroyed,2
Bell 206L-3,Unknown,VMC,Unknown,Substantial,2
Bell 206L-4,General,IMC,Cruise,Destroyed,2
Bell 206L-4,General,VMC,Landing,Substantial,2
Rockwell S2R,General,VMC,Landing,Substantial,2
Rockwell S2R,General,VMC,Descent,Substantial,2
Rockwell S2R,General,VMC,Cruise,Destroyed,2
Vans RV4,Unknown,VMC,Unknown,Destroyed,2
Rockwell S2-R,General,VMC,Takeoff,Substantial,2
Beech 1900D,General,VMC,Unknown,Destroyed,2
Beech 1900D,General,VMC,Taxi,Substantial,2
Beech 1900D,General,VMC,Takeoff,Unknown,2
Beech 1900D,General,VMC,Takeoff,Destroyed,2
Beech 1900D,General,VMC,Landing,Unknown,2
Beech 1900D,General,VMC,Landing,Minor,2
Bell 206L4,General,VMC,Unknown,Destroyed,2
Bell 212,General,UNK,Unknown,Destroyed,2
Beech 1900D,General,VMC,Climb,Minor,2
Beech 200,Unknown,VMC,Unknown,Destroyed,2
Aeronca 7CCM,General,VMC,Taxi,Substantial,2
Beech 23,General,VMC,Approach,Destroyed,2
Bell 206L,General,UNK,Unknown,Substantial,2
Aeronca 7EC,General,VMC,Maneuvering,Substantial,2
Bell 206B3,General,VMC,Climb,Substantial,2
Aeronca 7EC,General,VMC,Maneuvering,Destroyed,2
Beech 33,Unknown,VMC,Unknown,Substantial,2
Beech 33,General,VMC,Approach,Substantial,2
Bell 206B3,General,VMC,Taxi,Substantial,2
Bell 206BII,General,VMC,Landing,Substantial,2
Aeronca 7DC,General,VMC,Cruise,Substantial,2
Bell 206BIII,General,VMC,Cruise,Substantial,2
Beech 300,Human Error,VMC,Unknown,Substantial,2
Bell 206BIII,General,VMC,Landing,Substantial,2
Beech 300,General,IMC,Landing,Substantial,2
Bell 206L,General,IMC,Cruise,Substantial,2
"Smith,.Ted.Aerostar AEROSTAR 600",General,IMC,Landing,Substantial,2
Bell 206L,General,VMC,Approach,Substantial,2
Bell 206L-1,Human Error,VMC,Unknown,Substantial,2
Beech 24R,General,VMC,Landing,Substantial,2
Beech 24R,General,VMC,Cruise,Destroyed,2
Rockwell.International 690B,Human Error,IMC,Unknown,Destroyed,2
Beech 23-C23,General,VMC,Landing,Substantial,2
Bell 206L 3,Human Error,VMC,Unknown,Destroyed,2
"Smith,.Ted.Aerostar AEROSTAR 601",General,VMC,Cruise,Destroyed,2
Rockwell.International 112TC,Human Error,VMC,Unknown,Substantial,2
Bell 206L-1,General,IMC,Maneuvering,Destroyed,2
"Smith,.Ted.Aerostar AEROSTAR 601",General,VMC,Takeoff,Substantial,2
Beech 23,General,VMC,Maneuvering,Substantial,2
Beech 23,General,VMC,Landing,Destroyed,2
Beech 23,General,VMC,Go_around,Destroyed,2
Beech 23,General,VMC,Cruise,Destroyed,2
Bell 206L-1,General,VMC,Standing,Unknown,2
Robinson.Helicopter R44,Unknown,UNK,Unknown,Destroyed,2
Balloon.Works FIRE FLY 7,General,VMC,Takeoff,Substantial,2
Bellanca 17 30,Mechanical Failure,VMC,Unknown,Substantial,2
Bell UH-1B,General,VMC,Unknown,Substantial,2
Air.Tractor.Inc AT-602,Human Error,VMC,Unknown,Destroyed,2
Air.Tractor.Inc AT-602,Human Error,IMC,Unknown,Substantial,2
Air.Tractor.Inc AT-502B,Unknown,VMC,Unknown,Substantial,2
Avions.Max.Holste MH 1521 BROUSSARD,General,VMC,Takeoff,Substantial,2
Bell UH-1B,Unknown,VMC,Unknown,Destroyed,2
Air.Tractor.Inc AT-502B,Mechanical Failure,VMC,Unknown,Substantial,2
Air.Tractor.Inc AT-502,Unknown,UNK,Unknown,Substantial,2
Bell UH-1B,General,IMC,Maneuvering,Destroyed,2
Air.Tractor.Inc AT-502,Mechanical Failure,VMC,Unknown,Substantial,2
Avions.Mudry.Et.Cie CAP 10B,General,VMC,Maneuvering,Destroyed,2
Avions.Robin DR400,Unknown,UNK,Unknown,Destroyed,2
Stinson 10A,General,VMC,Cruise,Substantial,2
Stinson 108-3,Unknown,VMC,Unknown,Substantial,2
Bell UH-1B,General,VMC,Approach,Substantial,2
Aeronca 11AC,Unknown,VMC,Unknown,Substantial,2
Air.Tractor.Inc AT-802,Human Error,VMC,Unknown,Substantial,2
Stinson L 5,Human Error,VMC,Unknown,Substantial,2
Air.Tractor.Inc. AT-502,Human Error,VMC,Unknown,Substantial,2
Bell UH-1H,General,IMC,Cruise,Substantial,2
Bell UH-1H,General,VMC,Approach,Substantial,2
Avid AVID MAGNUM,Human Error,VMC,Unknown,Substantial,2
Bell UH-1H,General,VMC,Landing,Substantial,2
Aeronca 11AC,General,VMC,Taxi,Substantial,2
Bell UH-1H,Human Error,VMC,Unknown,Destroyed,2
Aeronca 11AC,General,VMC,Landing,Minor,2
Robinson R22,General,VMC,Taxi,Substantial,2
Robinson R22,General,VMC,Go_around,Substantial,2
Aeronca 11AC,General,VMC,Approach,Substantial,2
Robinson R22,General,VMC,Approach,Destroyed,2
Robinson R22,General,UNK,Unknown,Substantial,2
Bell UH1H,Unknown,UNK,Unknown,Substantial,2
Air.Tractor.Inc AT-401,Unknown,VMC,Unknown,Substantial,2
Stinson 108-3,Unknown,UNK,Unknown,Substantial,2
Bell OH-58A,General,VMC,Cruise,Destroyed,2
Air.Tractor.Inc AT 402,Human Error,VMC,Unknown,Substantial,2
Ayres S2R,Mechanical Failure,VMC,Unknown,Substantial,2
Stinson 108-2,General,VMC,Taxi,Substantial,2
Air.Tractor.Inc AT 602,Human Error,VMC,Unknown,Destroyed,2
Air.Tractor.Inc AT 502B,Mechanical Failure,VMC,Unknown,Substantial,2
Aeronca 11CC,Human Error,VMC,Unknown,Substantial,2
Ayres S2R-1820,General,VMC,Landing,Substantial,2
Bell OH-58C,General,VMC,Takeoff,Substantial,2
Stinson 108-3,Mechanical Failure,VMC,Unknown,Substantial,2
Air.Tractor.Inc AT 401B,Human Error,VMC,Unknown,Substantial,2
Stinson 108-2,General,VMC,Cruise,Destroyed,2
Stinson 108-2,General,VMC,Climb,Destroyed,2
Ayres S2R-600,General,VMC,Takeoff,Substantial,2
Stinson 108-2,General,VMC,Approach,Substantial,2
Bell OH-58A,General,VMC,Maneuvering,Substantial,2
Air.Tractor.Inc AT 602,Mechanical Failure,VMC,Unknown,Substantial,2
Ayres S2R,General,VMC,Climb,Destroyed,2
Robinson R22 BETA,Human Error,VMC,Unknown,Substantial,2
Robinson R22 BETA,General,VMC,Unknown,Destroyed,2
Stinson 108-3,General,VMC,Cruise,Destroyed,2
Aeronca 11CC,General,VMC,Takeoff,Substantial,2
Aeronca 11BC,General,VMC,Maneuvering,Substantial,2
Bell TH-13T,General,VMC,Cruise,Substantial,2
Ayres S-2R,General,VMC,Cruise,Substantial,2
Air.Tractor.Inc AT-400,Human Error,VMC,Unknown,Substantial,2
Robinson R22 BETA,General,VMC,Standing,Substantial,2
Air.Tractor.Inc AT-400A,Human Error,VMC,Unknown,Substantial,2
Stinson 108-3,General,VMC,Maneuvering,Destroyed,2
Ayres S 2R,Human Error,VMC,Unknown,Substantial,2
Stinson 108-3,General,VMC,Maneuvering,Substantial,2
Stinson 108-3,General,VMC,Taxi,Minor,2
Stinson 108-3,General,VMC,Taxi,Substantial,2
Bell UH1H - NO SERIES,Unknown,UNK,Unknown,Destroyed,2
Aeronca 11AC,General,IMC,Takeoff,Destroyed,2
Aeronca 11-AC,General,VMC,Landing,Substantial,2
Bellanca 14-19,General,VMC,Takeoff,Substantial,2
Bellanca 14-19-3A,General,IMC,Cruise,Destroyed,2
"Wolseley.Motors,.Inc. SE5-A",Human Error,VMC,Unknown,Substantial,2
Bellanca 14-19-3,General,VMC,Landing,Substantial,2
Robinson R-22 Beta,General,VMC,Takeoff,Substantial,2
Robinson R-22 Beta,General,VMC,Unknown,Destroyed,2
Robinson R-22 Beta II,General,VMC,Landing,Substantial,2
Striplin SKY RANGER,General,VMC,Approach,Destroyed,2
Robinson R22,General,IMC,Cruise,Destroyed,2
Aviat A-1,General,VMC,Landing,Destroyed,2
Bellanca 14-13-2,General,VMC,Takeoff,Substantial,2
Aero.Vodochody L39C,Human Error,VMC,Unknown,Destroyed,2
Aero.Vodochody L39C,Human Error,VMC,Unknown,Substantial,2
Airbus A320,Unknown,VMC,Unknown,Unknown,2
Aviat A-1C-180,Human Error,VMC,Unknown,Substantial,2
Airbus A320-214,Unknown,UNK,Unknown,Unknown,2
Airbus A320-232,Other,VMC,Unknown,Unknown,2
Aero.Commander S2R,Mechanical Failure,VMC,Unknown,Substantial,2
Airbus A321,Unknown,UNK,Unknown,Destroyed,2
Airbus A321,Unknown,VMC,Unknown,Substantial,2
Aero.Commander S-2R,General,VMC,Maneuvering,Substantial,2
Aero.Commander S-2R,General,VMC,Maneuvering,Destroyed,2
Aero.Commander S-2R,General,VMC,Landing,Substantial,2
Bellanca 14-19-3A,General,VMC,Landing,Substantial,2
Robinson R-22 BETA,General,VMC,Takeoff,Substantial,2
Aero.Commander Callair A-9B,General,VMC,Approach,Substantial,2
Sukhoi SU-26MX,General,VMC,Maneuvering,Destroyed,2
Robinson R-22 BETA,General,VMC,Takeoff,Destroyed,2
Sukhoi SU-29,General,VMC,Landing,Substantial,2
Aero.Commander CALLAIR A-9B,General,VMC,Maneuvering,Substantial,2
Aero.Commander CALLAIR A-9B,General,VMC,Maneuvering,Destroyed,2
Aero.Commander CALLAIR A-9,General,VMC,Maneuvering,Destroyed,2
Aviat A1,General,VMC,Landing,Substantial,2
Bellanca 14-13-2,General,VMC,Landing,Substantial,2
Aviat A1,Human Error,VMC,Unknown,Destroyed,2
Bell.Helicopter.Textron 206L-1,Unknown,VMC,Unknown,Substantial,2
Airborne.Windsport Edge XT-912-L,Human Error,VMC,Unknown,Substantial,2
Stinson SR-8B,Human Error,VMC,Unknown,Substantial,2
Aviat.Inc PITTS S-2B,Human Error,VMC,Unknown,Minor,2
Airborne.Windsports.Pty.Ltd EDGE XT-912-L,Human Error,VMC,Unknown,Substantial,2
Stinson SR9,Human Error,VMC,Unknown,Substantial,2
Aviat.Aircraft.Inc S 2C,Human Error,VMC,Unknown,Substantial,2
Airborne.Windsports.Pty.Ltd XT-912-L,Human Error,VMC,Unknown,Substantial,2
Robinson R-44,Unknown,UNK,Unknown,Substantial,2
Airbus A300,Unknown,UNK,Unknown,Unknown,2
Aviat.Aircraft.Inc A-1A,Human Error,VMC,Unknown,Substantial,2
Bell.Helicopter.Co 206B,Unknown,UNK,Unknown,Substantial,2
Bell.Helicopter.Textron 206,Human Error,VMC,Unknown,Substantial,2
Airbus A319,Unknown,UNK,Unknown,Minor,2
Bell.Helicopter.Textron 206L-1,Human Error,IMC,Unknown,Substantial,2
Robinson R-22HP,General,VMC,Maneuvering,Substantial,2
Bellanca 14-13-2,General,VMC,Cruise,Substantial,2
Stoddard.Hamilton GLASAIR II,Unknown,VMC,Unknown,Substantial,2
Aviat Pitts S2B,General,VMC,Landing,Substantial,2
Aerofab.Inc. LAKE LA-4-250,General,VMC,Takeoff,Substantial,2
Bell.Helicopter.Textron.Canada 407,Unknown,VMC,Unknown,Substantial,2
Aviat Pitts S-2B,General,VMC,Landing,Substantial,2
Aviat Pitts S-2B,General,VMC,Cruise,Substantial,2
Robinson R-22B,General,VMC,Descent,Substantial,2
Travel.Air 4000,General,VMC,Maneuvering,Destroyed,2
Robinson R-22B,General,VMC,Cruise,Destroyed,2
Bell.Textron.Canada.Ltd 505,Unknown,VMC,Unknown,Substantial,2
Stolp.Starduster SA-300,Human Error,VMC,Unknown,Substantial,2
Bellanca 14-13,General,VMC,Approach,Substantial,2
Bellanca 14-13,General,VMC,Cruise,Substantial,2
Bellanca 14-13-2,General,VMC,Approach,Substantial,2
Bell OH-58A,General,VMC,Maneuvering,Destroyed,2
Stinson 108-2,General,VMC,Approach,Destroyed,2
Bell 47G-3B-1,General,VMC,Approach,Substantial,2
Robinson R44 II,Unknown,UNK,Unknown,Destroyed,2
Robinson R44 II,General,VMC,Standing,Substantial,2
Robinson R44 II,General,VMC,Takeoff,Destroyed,2
Bae JETSTREAM3100,Unknown,UNK,Unknown,Unknown,2
Air.Tractor AT-401,Human Error,VMC,Unknown,Substantial,2
Robinson R44 II,Human Error,VMC,Unknown,Destroyed,2
Bae JETSTREAM4100,Unknown,UNK,Unknown,Substantial,2
Bell 47G2A,General,VMC,Maneuvering,Substantial,2
Bell 47G-5A,General,VMC,Takeoff,Destroyed,2
Bell 47G2,General,VMC,Takeoff,Destroyed,2
Air.Tractor AT-400A,General,VMC,Takeoff,Substantial,2
Bell 47G2,General,VMC,Maneuvering,Destroyed,2
Air.Tractor AT-400A,General,VMC,Maneuvering,Destroyed,2
Bell 47G2,General,VMC,Descent,Substantial,2
Robinson R66,Unknown,VMC,Unknown,Substantial,2
Bell 47G3-B1,General,VMC,Maneuvering,Substantial,2
Bae AVRO146RJ,Unknown,UNK,Unknown,Unknown,2
Air.Tractor AT-402,General,VMC,Maneuvering,Destroyed,2
Robinson R44 II,General,VMC,Cruise,Destroyed,2
Air.Tractor AT-402A,General,VMC,Cruise,Substantial,2
Air.Tractor AT-402A,General,VMC,Maneuvering,Destroyed,2
Stemme.Gmbh.&.Co S10-VT,Human Error,VMC,Unknown,Substantial,2
Aeronca 65-TAC,General,VMC,Landing,Substantial,2
Bell 47G3B1,General,VMC,Takeoff,Substantial,2
Air.Tractor AT-402B,General,VMC,Maneuvering,Substantial,2
Air.Tractor AT-402B,General,VMC,Takeoff,Substantial,2
Air.Tractor AT-402B,Human Error,VMC,Unknown,Substantial,2
B??Lkow PHOEBUS C,General,VMC,Landing,Substantial,2
Air.Tractor AT-502,General,VMC,Approach,Substantial,2
Bell 47G3B2,General,VMC,Maneuvering,Destroyed,2
Bell 47G3B2,General,VMC,Maneuvering,Substantial,2
Bell 47G3B2A,General,VMC,Cruise,Substantial,2
Air.Tractor AT-400,General,VMC,Landing,Substantial,2
Steen SKYBOLT,General,VMC,Maneuvering,Destroyed,2
Air.Tractor.Inc AT 301,Human Error,VMC,Unknown,Substantial,2
Stearman 4E,General,VMC,Landing,Substantial,2
Robinson.Helicopter R22 BETA II,Human Error,VMC,Unknown,Substantial,2
Stearman A75N1(PT17),Unknown,VMC,Unknown,Substantial,2
Bell 47G-3B1,General,VMC,Takeoff,Substantial,2
Robinson.Helicopter R22 BETA II,Other,VMC,Unknown,Substantial,2
Stearman A75N1(PT17),Human Error,VMC,Unknown,Substantial,2
Bell 47G-3B1,General,VMC,Cruise,Substantial,2
Bell 47G-3B-2,General,VMC,Takeoff,Substantial,2
Bell 47G-5A,General,VMC,Cruise,Substantial,2
Bell 47G-3B-2,General,VMC,Landing,Substantial,2
Robinson.Helicopter R44,Human Error,IMC,Unknown,Substantial,2
Robinson.Helicopter R44,Human Error,VMC,Unknown,Destroyed,2
Bell 47G-3B-1,General,VMC,Takeoff,Destroyed,2
Air.Tractor AT 301,General,VMC,Maneuvering,Substantial,2
Bell 47G-3B-1,General,VMC,Descent,Substantial,2
Stearman B75,Human Error,VMC,Unknown,Substantial,2
Stearman B75N1,Human Error,VMC,Unknown,Substantial,2
Air.Tractor AT 502,Unknown,VMC,Unknown,Destroyed,2
Bell 47G-4,General,VMC,Cruise,Substantial,2
Bell 47G-4,General,VMC,Maneuvering,Substantial,2
Robinson.Helicopter R22 BETA,Other,VMC,Unknown,Substantial,2
Bell 47G-4A,General,VMC,Approach,Substantial,2
Air.Tractor AT 602,Unknown,VMC,Unknown,Substantial,2
Bell 47G-4A,Human Error,VMC,Unknown,Substantial,2
Robinson.Helicopter R22 BETA,Human Error,VMC,Unknown,Destroyed,2
Robinson.Helicopter R22 BETA,General,VMC,Cruise,Substantial,2
Stearman.Aircraft C3-B,Human Error,VMC,Unknown,Substantial,2
Robinson.Helicopter R22,Other,VMC,Unknown,Substantial,2
Air.Tractor AT-301,General,VMC,Approach,Substantial,2
Air.Tractor AT-301,General,VMC,Takeoff,Destroyed,2
Robinson.Helicopter R22,Mechanical Failure,VMC,Unknown,Substantial,2
Aeronca 65-TAC,General,VMC,Maneuvering,Substantial,2
Bell 47G3B2A,General,VMC,Takeoff,Substantial,2
Bell 47G4,General,VMC,Maneuvering,Destroyed,2
Robinson R44 - II,Human Error,VMC,Unknown,Substantial,2
Stinson 108-1,General,VMC,Cruise,Destroyed,2
Ayres S2R-G6,Human Error,VMC,Unknown,Substantial,2
Air.Tractor AT602,Unknown,UNK,Unknown,Substantial,2
Aeronca 15AC,Unknown,VMC,Unknown,Substantial,2
Stinson 108-1,General,VMC,Maneuvering,Substantial,2
Ayres S2R-R1820,General,VMC,Maneuvering,Destroyed,2
Stinson 108-1,General,VMC,Descent,Substantial,2
Stinson 108-1,General,VMC,Approach,Substantial,2
Air.Tractor AT-502A,General,VMC,Landing,Substantial,2
Stinson 108 3,Human Error,VMC,Unknown,Substantial,2
Air.Tractor AT502,Unknown,UNK,Unknown,Unknown,2
Stinson 108,Unknown,UNK,Unknown,Substantial,2
Air.Tractor AT502,Mechanical Failure,VMC,Unknown,Substantial,2
Robinson R22-B,General,VMC,Standing,Substantial,2
Stinson 108,General,VMC,Takeoff,Destroyed,2
Aeronca 15AC,General,VMC,Taxi,Substantial,2
Robinson R22 Beta II,Human Error,VMC,Unknown,Substantial,2
Robinson R22 Beta II,General,VMC,Landing,Substantial,2
Ayres S2R-G6,General,VMC,Maneuvering,Substantial,2
Air.Tractor AT802,Unknown,UNK,Unknown,Minor,2
